,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
PHYHIP,465.30372160759714,-3.0832804094615462,0.16417240953090578,-18.780746522947954,1.0854323406162518e-78,3.4039158201725654e-74,True
RAB3B,525.1009913581722,-3.372265501131075,0.18884962138061345,-17.856882510420846,2.5551805073841182e-71,4.0065230355782977e-67,True
LCE5A,437.21801827301005,-3.6119638723963683,0.20652925665669714,-17.488872670472777,1.7416855257679857e-68,1.820641936269468e-64,True
BTC,972.8137327484994,-3.9331079259940034,0.2290010425930505,-17.17506558685581,4.0819115913059237e-66,3.200218687583844e-62,True
CHRM4,40.40226106757878,-5.2509569207784965,0.32555850569390304,-16.129073051206216,1.5939483073483918e-58,9.997243783689113e-55,True
LCE3D,1362.4213514142357,5.475234274263335,0.34706891459002426,15.775640064829677,4.577342466619512e-56,2.3924243292197984e-52,True
KRT77,5329.49689969872,-3.414459687199745,0.21720960134604295,-15.719653579033412,1.1092853904214789e-55,4.9695985490882255e-52,True
DNASE1L3,102.57030909924174,2.2507835496254307,0.14371259240562684,15.661700286309113,2.7640762329237033e-55,1.0835178833060917e-51,True
TNFRSF21,263.1767229561273,2.580818190926614,0.16739257985768743,15.417757424616758,1.2434790621659977e-53,4.332833709947298e-50,True
DSG3,7844.913887602779,1.9942957519218412,0.12983445423799875,15.360296799693167,3.0218802826091565e-53,9.476616566262315e-50,True
CLEC7A,238.403806023363,2.7961494662498803,0.18323096648722342,15.260245142268865,1.4071867460227775e-52,4.011761486843118e-49,True
LCE3E,396.59221185327885,5.378889441904051,0.35624677188092446,15.098773845737318,1.6497267004601033e-51,4.3112857772024037e-48,True
RAB31,830.0489893130159,1.955016165934094,0.12990686951039002,15.049367083530028,3.485529680905054e-51,8.408170061014039e-48,True
TNNC1,43.50445394912409,-3.5164910338965125,0.2338775291350193,-15.035608794491818,4.2908533783057853e-51,9.611511567404959e-48,True
