,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
GALNT6,953.5714946514044,1.5719654669039627,0.1058302088773026,14.853655525961095,6.587631324316451e-50,1.9454592826971343e-45,True
KRT77,2986.2391049575385,-2.931403602178174,0.19949584960505504,-14.694058086829967,7.037017773938266e-49,1.0390860444997244e-44,True
TNFRSF21,421.32922515966607,2.0010042547958946,0.13715808977531102,14.589035601719813,3.2982714868208215e-48,3.2468184516264165e-44,True
LINC01254,39.36166644452377,-1.732936726123863,0.13042378007217156,-13.286969026391674,2.7551430416064493e-40,2.0341221076180416e-36,True
FGD2,369.64173890967066,1.0514718295006111,0.08184021649936525,12.847862267187018,8.842002013808607e-38,5.222440069435915e-34,True
CDC25B,473.03250178892915,1.0388751352991918,0.08207995039039111,12.65686846005709,1.0250737503614662e-36,5.045412999279137e-33,True
FAM234B,503.683694478485,-1.029991435071826,0.08244071690011004,-12.493722444454523,8.078356855251607e-36,3.4081433521327206e-32,True
LCE3E,759.7848279329255,3.6322323301750825,0.294098587602291,12.350390254464411,4.847570526325921e-35,1.7894806597932138e-31,True
PHYHIP,286.5791946194581,-2.730746221032379,0.22149612803765353,-12.328640889687074,6.350886662825437e-35,2.08393761029512e-31,True
C10orf99,691.7321823191044,2.638666967982141,0.21540775016995262,12.249638027880996,1.6874740667349881e-34,4.983448413881766e-31,True
LCE3D,2619.9576832014664,3.7166923223187998,0.3065762899105275,12.12322167315514,7.95686609984228e-34,2.1362015423685652e-30,True
UGT3A2,118.5928740302878,-4.243883441416402,0.35475730778760656,-11.962779478406738,5.5666893616645366e-33,1.3506692785115903e-29,True
BTC,561.4786559238094,-3.5429110207630914,0.2962966468812096,-11.957310546897634,5.945652384075131e-33,1.3506692785115903e-29,True
SPAG16,401.6931665285797,-0.7370109050338779,0.061713488572338014,-11.942460588174075,7.108856703915254e-33,1.4150789592289582e-29,False
RAB3B,298.8418785538318,-2.907563652987391,0.24348302966971253,-11.941545400233986,7.187520109858586e-33,1.4150789592289582e-29,True
ARHGEF26,885.6120583462073,-0.8432306431114609,0.07088425540057232,-11.895880662726869,1.2433448774143792e-32,2.2949038074875903e-29,False
GPRIN1,290.8638469907425,2.0638670950213065,0.17362458040037101,11.886952240645392,1.3836395488780588e-32,2.4036260680862842e-29,True
SPRR1B,2507.5261495098375,2.899294993812991,0.24413913469192366,11.87558478681256,1.585216210870344e-32,2.600811396634611e-29,True
PALLD,2338.7487518876233,0.7606165222903031,0.06498197549508097,11.705038458670442,1.2010476990447314e-31,1.8668074025362636e-28,False
PLA2G2F,788.2148837668971,1.2388329217519598,0.10649806027103867,11.632445873653634,2.8190257729694854e-31,4.162573456366742e-28,True
SGK3,286.40335139600364,-0.6789432515310281,0.0589705025034646,-11.51326888372944,1.1310815414446321e-30,1.5906238134258512e-27,False
PLLP,608.6030492437379,-1.1637489060920234,0.10133910119373558,-11.48371055578261,1.5929434923649558e-30,2.1383094189328123e-27,True
OASL,114.14893108233335,3.6488402621389158,0.31841659790548305,11.459328081955126,2.1114647837704852e-30,2.711120782361303e-27,True
ECT2,747.2491163140113,0.7657263819107016,0.06686138067163946,11.452446452926736,2.2860123459164052e-30,2.8129381916501367e-27,False
CCND1,4416.0247654430295,-0.8802957144828867,0.07694031572723413,-11.441280246414344,2.6001994062655276e-30,3.0715635546333422e-27,False
SORCS2,108.3216314767349,1.4929664004751166,0.13071091247006436,11.421895634131072,3.250652455975331e-30,3.5554914196245735e-27,True
ZNF677,184.2534579648314,-1.0379158922105107,0.09086009378729963,-11.423231574471364,3.201055630115046e-30,3.5554914196245735e-27,True
SPRR1A,535.080197277028,3.0555663297163234,0.27057163007123886,11.29300336813517,1.4209666029561113e-29,1.3987995239499958e-26,True
KRT16,26505.687874265663,4.283216718255005,0.37926703685372865,11.293406233737384,1.4144666977311246e-29,1.3987995239499958e-26,True
SPRR2B,1077.6059014381385,4.338275876214666,0.3839548945426527,11.298920622908575,1.3284068001846057e-29,1.3987995239499958e-26,True
XLOC_007053,18.542026887991216,3.1150663428204575,0.27608452560846813,11.283016807823984,1.591914012901169e-29,1.4691376446561664e-26,True
RGMB,1455.9647963136442,-0.8589726049057335,0.07611451886541981,-11.28526617141871,1.551711651806103e-29,1.4691376446561664e-26,False
KPNA2,921.9036112923042,1.2538781724827714,0.11124075943834981,11.271751279059517,1.809348058976393e-29,1.619202026596692e-26,True
VSNL1,642.4085685519377,1.2720996111615985,0.11311618462031836,11.245955788126,2.4245612407594403e-29,2.1059453694737585e-26,True
RAB31,1230.1264661680768,1.475484626441078,0.13137807026396414,11.23082888549468,2.877661914474516e-29,2.4280889045217544e-26,True
PITPNM1,226.18450436164727,1.1079668030062733,0.0987629350444202,11.21844751280374,3.3103064175613636e-29,2.715554697872839e-26,True
LCE3A,345.4686205131004,5.06690583811843,0.45243754482199944,11.199127694214416,4.117679296628892e-29,3.2865758104876874e-26,True
MOSPD2,776.3082682557474,-0.6780936387377408,0.06058665195037684,-11.192129238188134,4.4560260490210796e-29,3.463035823149751e-26,False
MDFI,218.10374096709205,1.8620277934350051,0.16704985650260268,11.146539317176812,7.444571934186062e-29,5.637258932317508e-26,True
FUT2,306.48330415180254,1.2124034621405753,0.1089636080255281,11.12668242278222,9.303391808046842e-29,6.868694171880984e-26,True
DNASE1L3,157.7024796955427,1.7813195601656515,0.16036607538990896,11.10783284952636,1.1491455297015701e-28,8.277211166621162e-26,True
ZNF439,193.51958862303766,-1.002891208255723,0.09061071563536126,-11.068130311337484,1.7909824670249987e-28,1.2593165289567204e-25,True
S100A7,16415.56849010266,4.200175828648477,0.38142015447051786,11.011939928762029,3.3471778163805914e-28,2.2988105877523635e-25,True
SGK1,2881.874613487633,1.2911093648406757,0.11741139057318815,10.996457486259525,3.9744010081149455e-28,2.66754569481024e-25,True
S100A9,26182.31412029395,4.762191085844979,0.43337131267202755,10.988708635287477,4.330779891602629e-28,2.8421464835290854e-25,True
SLC47A1,370.6258390808047,-0.7687507486063839,0.0700012218197577,-10.981961866119967,4.666771668660209e-28,2.9960674112798544e-25,False
ZNF577,225.78656975039016,-0.9522440485057876,0.08684569719237793,-10.964780976959695,5.643703630449127e-28,3.5461671407324176e-25,False
EPHA1,1308.6404749013643,0.6677235819886875,0.06093233799263051,10.958443479871814,6.0531488980317535e-28,3.7241998595140364e-25,False
FUT3,65.60358875330536,2.4954012253255233,0.22842755171945647,10.924256756865532,8.82600009766447e-28,5.319376222127085e-25,True
NOD2,837.7339054241054,0.9717748357858412,0.08928997771930113,10.883358475469528,1.3836902929018325e-27,8.172628345995383e-25,False
HEPHL1,1615.2934633648097,3.6177968368940863,0.33326693572101646,10.85555285905292,1.8766767665935117e-27,1.0867062406086192e-24,True
SCEL,13351.837448521495,-1.1666758290374122,0.1076402363094559,-10.838659120770835,2.2575558214501553e-27,1.2821180484435766e-24,True
OAS1,340.6195403793728,1.4507232828697014,0.1339521898619675,10.830157270027575,2.4772947278597904e-27,1.380367318927459e-24,True
KRT6C,4364.500298227918,5.658913280728357,0.5228991465660664,10.822188787055849,2.7024514031743617e-27,1.4779406451582454e-24,True
ZNF606,259.1260146720552,-0.7049033276853939,0.06516985381047578,-10.816401855608945,2.8785765220626203e-27,1.5456385790827875e-24,False
AC008074.4,180.018145715657,-1.3426530953899503,0.12447526363943795,-10.78650533554325,3.986621282576148e-27,2.102373209232836e-24,True
OAS2,307.6027451576679,2.247243663015988,0.2092726792496792,10.73835185306174,6.723390748481661e-27,3.483424133055445e-24,True
BCAR3,290.06877713305187,-1.312912218930697,0.12237439496754017,-10.728651359452662,7.467808454945678e-27,3.802402056749237e-24,True
DSG3,11654.754415348132,1.4941695292666313,0.13964149239863272,10.700039820551655,1.0173448833693122e-26,5.092242219603818e-24,True
G3793,20.01185977888336,-4.274533610157962,0.4003032962073406,-10.678237353169157,1.2869193015028867e-26,6.334216801997208e-24,True
ALDH3A2,9358.992667878325,-0.7273940782605741,0.0681536989459709,-10.672848128715925,1.3638075347176208e-26,6.602617068078816e-24,False
LRP4,1984.347648960377,-0.7026330765038717,0.0659194321767617,-10.65896736822269,1.5834576409042932e-26,7.54236629857832e-24,False
PYGL,1448.354152834212,1.1770357424505542,0.11058862129173518,10.643371159728165,1.872301120620786e-26,8.776634395900485e-24,True
RAI14,1010.845844342959,-1.0380446325151318,0.09754657946319756,-10.641527752459696,1.9097204493934518e-26,8.81216629866991e-24,True
PLEKHA5,1285.7245263512898,-0.5013791007852749,0.04724999417256765,-10.611199208916837,2.6433436136745765e-26,1.1651227402841432e-23,False
FAM63B,1329.4440496013056,-0.5000342444605006,0.047111322071750006,-10.613886905974624,2.568372393820652e-26,1.1651227402841432e-23,False
