,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
CCL18,226.06628815745626,3.531712578594478,0.43376652328929033,8.141966677864362,3.8890829855746484e-16,7.230583086780387e-12,True
SPRR2G,3534.8746928375026,2.9069779276955074,0.3726112630569119,7.801637298471843,6.110907166496692e-15,3.7933983236510625e-11,True
LCE3A,174.92601438946517,4.294252465044002,0.5504443623374212,7.801428734429719,6.121017088507523e-15,3.7933983236510625e-11,True
EPHA1-AS1,20.134026752525937,1.1692100053566175,0.159249484761297,7.342001809984976,2.1042254939345602e-13,9.780440095807836e-10,True
LCE3D,1362.4213514142357,2.452850668759349,0.34728846174364764,7.062862544998487,1.6310705125482044e-12,6.064972593859243e-09,True
SPRR2B,555.086647017034,3.393152739588756,0.5105222922150617,6.646434036928132,3.0027892740978353e-11,9.304643030671159e-08,True
CCL13,96.37628616742617,1.8150000478327923,0.301156953409028,6.0267578991200645,1.6728129053780542e-09,4.442991076684112e-06,True
CBX5,4575.905143003763,-0.29023101299657056,0.049034451695311225,-5.9189203297305975,3.240618865077934e-09,7.531198242441119e-06,False
ALOX15,119.55546883742639,1.6774627078664204,0.2878763422621874,5.827025224388351,5.642408673483662e-09,1.165596245082314e-05,True
LCE3E,396.59221185327885,2.0610739180285647,0.35715581016408926,5.770797672538601,7.8897159785122e-09,1.3074171545283177e-05,True
PEG3,200.68278219479066,-0.9260849628426033,0.16079384427753105,-5.759455326188829,8.438578880346285e-09,1.3074171545283177e-05,False
SERPINB4,2199.403728121079,3.1448325623397975,0.544166718820247,5.779171076757123,7.50695632872641e-09,1.3074171545283177e-05,True
SPRR2D,894.7002418579266,1.8807454574004814,0.3273661069061928,5.745083005613075,9.187590534447872e-09,1.3139667939727295e-05,True
TNFRSF10B,247.64038624367186,0.6155601670059991,0.10750441992429294,5.725905664525148,1.028833827204909e-08,1.3662913225281192e-05,False
HEPHL1,842.716034551007,2.243295571542645,0.393103543165913,5.706627707997638,1.152364527654554e-08,1.428317419876898e-05,True
DEFB4A,69.88401301000047,3.7392640515546955,0.6594607407769502,5.670184470950074,1.4264384713854729e-08,1.6575215037499197e-05,True
S100A7,8491.630752589695,2.52664611609713,0.4525472761827112,5.583165006338528,2.3618046786507012e-08,2.5829807403219904e-05,True
TTC13,385.24152171776296,0.3468592619056741,0.06224383357926421,5.572588350683241,2.5098213481915282e-08,2.5923665836431606e-05,False
TMEM74B,24.244547639476085,0.9422732242616049,0.16999976721539217,5.5427912619887945,2.9768765640198435e-08,2.7673044539128466e-05,False
SPRR2E,4233.493954563764,1.442278512697702,0.26002977896876095,5.546589772977395,2.912950961251423e-08,2.7673044539128466e-05,True
ACVR2A,1342.8573749096477,-0.3243765007983163,0.06039315735840828,-5.371080350597944,7.826632343340408e-08,6.929178501304041e-05,False
SOCS3,391.0461981827285,1.2378806395578243,0.2313600929339124,5.350450131049276,8.773572793416835e-08,7.414466607963901e-05,True
ODF3B,137.4304410548592,0.8124250597363082,0.1529767956679514,5.3107731547714145,1.0916113668548087e-07,8.824016753288957e-05,False
CHI3L2,694.4965386362808,1.5781604009638754,0.298300571163043,5.290504120762464,1.2197967355335753e-07,9.449358711266764e-05,True
SLC5A5,39.75971143249547,3.0795026853361214,0.5838730048359575,5.274267965516449,1.3328703643291983e-07,9.538822583326652e-05,True
CSF1,271.385809941756,0.6238011944895135,0.11827591736817113,5.274118420470461,1.3339575471519629e-07,9.538822583326652e-05,False
G41001,19.345165954284358,1.4053958732632938,0.2669270745969758,5.265093004841319,1.401184047794958e-07,9.648449561705134e-05,True
CLEC7A,238.403806023363,0.9633509405212538,0.18434450916771825,5.225818468207201,1.7338640737623119e-07,0.00011496227683469628,False
AKR1B15,52.20763524831924,2.0120099486844523,0.3854727747168132,5.219590281473371,1.7931938619869793e-07,0.00011496227683469628,True
USP54,890.4093468924244,-0.3474169373709282,0.06675359030922917,-5.204468190573044,1.945529443632744e-07,0.00011693681264990813,False
FGD2,254.33342083462466,0.7019144471614954,0.1348781780628343,5.204062341608009,1.9497854949156368e-07,0.00011693681264990813,False
TMC5,261.15517130825594,0.8130648518898814,0.15674841218024904,5.187069142077926,2.136294324423825e-07,0.00012411870024902423,False
TTL,1054.4820787605706,0.361086878569798,0.07004505945893694,5.155065630024638,2.535421128501418e-07,0.00014284408976090413,False
