Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,relevant_to_barrier_immune
prerank,Inflammatory Response (GO:0006954),0.634892210137236,2.6671583169592123,0.0,0.0,0.0,118/216,16.61%,ALOX15;MFHAS1;ADAM8;KRT16;ELF3;GPR68;S100A8;S100A9;NFKB2;RELB;WNT5A;STAT3;CCL18;CD44;SELE;AFAP1L2;LTB4R;CCL22;CCR7;CXCR4;CXCL8;IL13;IRAK2;CXCL1;IL2RA;CCL13;LTB4R2;CCR5;FPR3;CCL2;TGFB1;LYZ;PIK3CD;PTGER4;TNFRSF1A;CCL19;APOL2;VCAM1;MAPKAPK2;CCR2;CCL17;CIITA;ITGB2;NFKB1;TRAF3IP2;CYBA;CD96;BDKRB2;IL22;CCR1;TNFRSF4;ITGAL;ADM;REL;THBS1;IL1RL1;RELA;BLNK;C5AR2;PARP4;CCL5;TLR2;CXCL2;CXCL9;CXCL10;HYAL1;NLRP3;CXCL11;CXCL6;PIK3CG;IKBKG;CXCL13;FUT7;TNFAIP6;IKBKB;CCL4;CD40LG;CCL1;IL6;TNF;ANXA1;NOD1;CD40;FPR1;GGT5;PLA2G4B;LGALS9;VNN1;ADGRE5;CHUK;CCL7;TLR1;RAC1;CEBPB;C5AR1;CCL20;CCL8;NRROS;TMIGD3;CCL3;SERPINA3;XCL1;MEN1;NAIP;TNFSF4;CRHBP;DHX8;PTGIR;TUSC2;CXCL3;CCL26;OLR1;NFAM1;IL1B;CCRL2;C3AR1;IFNG;XCL2,True
prerank,Positive Regulation Of Type I Interferon Production (GO:0032481),0.6745945234573569,2.327653903362756,0.0,0.0,0.0,29/56,14.22%,IRF7;IRF1;POLR3G;TRIM15;TRAF3;OAS1;OAS3;IFIH1;MYD88;GAPDH;IRAK1;TRAF3IP3;DHX58;OAS2;FLOT1;STAT1;TLR2;PTPN22;IRF3;TRIM65;ISG15;IKBKE;CHUK;TICAM1;DDX3X;DHX33;NMB;DHX9;HSPD1,False
prerank,Leukocyte Cell-Cell Adhesion (GO:0007159),0.7955822699656074,2.3344479661831676,0.0,0.0,0.0,18/26,12.24%,MSN;SELE;CD177;TNIP1;FERMT3;LRG1;VCAM1;SELP;ITGB2;ICAM1;ITGAL;SYK;CCL5;SELL;CD40LG;ITGA4;CD209;EZR,False
prerank,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),0.6993804763951474,2.3413667123163697,0.0,0.0,0.0,25/52,9.29%,CLEC7A;NOD2;IFI16;WNT5A;STAT3;GSDMD;TRIM16;MYD88;PANX1;AIM2;CCL19;CD36;PYDC1;PYCARD;GBP5;CASP8;NLRP3;FZD5;PYHIN1;IL6;TNF;LCP1;TYROBP;LGALS9;MNDA,True
prerank,Cell Cycle G2/M Phase Transition (GO:0044839),0.7295741322809268,2.3423361044325004,0.0,0.0,0.0,22/39,13.71%,CDC25B;FOXM1;CCNB1;PKMYT1;MELK;DNM2;CDC25A;AURKB;AURKA;NES;CDK1;CCNA2;PLK1;CDC25C;CDK2;PLK3;CHEK2;AKAP8;UBE2A;AKAP8L;TAF2;MASTL,False
prerank,Positive Regulation Of Lymphocyte Activation (GO:0051251),0.7234519082003107,2.3452484387144454,0.0,0.0,0.0,32/42,15.64%,CLEC7A;NOD2;TNIP2;CD47;CCL2;LCK;CCR2;PRKCQ;THY1;TNFSF11;PYCARD;CCDC88B;NCKAP1L;HLA-DRA;HLA-DMA;HLA-DMB;HLA-DPA1;IL6;GNAO1;SIRPG;TYROBP;HLA-DRB1;SIRPA;IL23A;TICAM1;ZNF335;PRKDC;TNFSF4;IL12B;HSPD1;HLA-DQA1;XRCC6,False
prerank,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),0.5634372567543351,2.348543845386092,0.0,0.0,0.0,87/219,12.65%,CLEC7A;NOD2;TNFRSF10B;TNIP2;WNT5A;NLRX1;SLC20A1;LTF;ZC3H12A;MAP3K14;TRAF3;BIRC3;CCR7;TNFSF10;FLNA;MYD88;ECT2;LTBR;SHISA5;TRIM22;TRAF2;SECTM1;TNIP1;GAPDH;S100A12;IRAK1;CANT1;TNFRSF1A;CCL19;TRAF4;APOL2;ARRB2;TRIM25;LTB;TRAF3IP2;TFG;TNIP3;CASP10;CARD19;PLCG2;REL;PYCARD;TRIM62;RELA;HMOX1;CD74;ZFAND6;TRIM21;STAT1;DDX21;RHOH;CARD11;CASP8;TRADD;CARD9;TRAF1;PIM2;TNFAIP3;NUP62;FKBP1A;IKBKG;FASLG;IKBKB;GSTP1;TNF;RNF31;NOD1;BCL10;CD40;LILRB4;S100A4;LGALS9;HLA-DRB1;IKBKE;CHUK;CD4;PLK2;TICAM1;TRIM58;TRAF5;BIRC2;LITAF;PARP1;CC2D1A;PPP5C;IRAK4;CPNE1,False
prerank,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),0.6666062466750892,2.351863963540853,0.0,0.0,0.0,29/58,13.39%,TNFRSF12A;TNFSF10;CYLD;LTBR;PML;TGFBR1;TRAF2;TMC8;STX4;ITGA6;LTB;PSME3;THBS1;PYCARD;RELA;BID;BCL2L12;SRC;TRAF1;GSTP1;TNF;BCL10;BMP4;ITGAV;SP100;PARK7;HYAL2;DEDD2;MEN1,False
prerank,Regulation Of Interleukin-12 Production (GO:0032655),0.6911229567647721,2.3255383074576104,0.0,0.0,0.0,30/48,16.89%,CLEC7A;CD47;CCR7;JAK3;SLAMF1;CCL19;MAPK11;FOXP1;LTB;TIGIT;LAPTM5;PLCG2;THBS1;SYK;IL10;TLR2;CD40LG;HLA-B;C1QBP;CD40;LGALS9;IL23A;LILRB1;TNFSF4;IL12B;HSPD1;IRAK3;TLR8;IFNG;MAST2,True
prerank,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),0.6606984706149391,2.357829099233482,0.0,0.0,0.0,43/69,16.52%,PNP;CD274;CD6;GPR183;SASH3;CCL19;CD28;VCAM1;PTPRC;CD3E;CD80;TNFRSF4;EPHB2;CCDC88B;CD74;NCKAP1L;TYK2;HLA-DMB;CCL5;LILRB2;IL15;HLA-DPA1;NCK2;CLCF1;CD40LG;IL6;ANXA1;CD40;CD320;CD38;CD209;IL23A;CD276;ZNF335;HLA-E;SLC7A1;IL12B;CD86;PDCD1LG2;FCGR3A;IL1B;CD1D;TNFSF13B,False
prerank,Lymphocyte Chemotaxis (GO:0048247),0.7581776757125156,2.3609848488844385,0.0,0.0,0.0,28/36,17.48%,CCL18;CCL22;CH25H;CCL13;CCL2;GPR183;PIK3CD;CCL19;CCL17;CYP7B1;HSD3B7;CXCL16;CCL5;CXCL10;CXCL11;PIK3CG;CXCL13;CCL4;CCL1;CCL7;CCL20;SAA1;CCL8;CCL3;XCL1;CCL26;XCL2;CCL21,False
prerank,Negative Regulation Of T Cell Activation (GO:0050868),0.7284147416512257,2.3630800047767218,0.0,0.0,0.0,26/41,15.65%,TNFRSF21;PLA2G2F;CD274;IL4I1;JAK3;TIGIT;CD80;LAPTM5;FOXP3;HAVCR2;NCKAP1L;IL10;LILRB2;PTPN22;PLA2G2A;SPN;LILRB4;HLA-DRB1;DLG5;CEBPB;LILRB1;ILDR2;LAX1;CD86;PDCD1LG2;DUSP3,False
prerank,Positive Regulation Of Immune Response (GO:0050778),0.6545688609064799,2.365972675838312,0.0,0.0,0.0,41/71,16.73%,NOD2;PLSCR1;POLR3G;IFI35;CCR7;CD177;CD226;MYO1C;SASH3;IL12RB1;STX4;PTPRC;ITGB2;ITGAM;AKIRIN2;PYCARD;GBP5;CD74;HLA-DRA;IL10;HLA-DMB;CCL5;XBP1;IL15;NLRP3;RSAD2;LGALS9;CFP;HLA-DRB1;IL23A;LILRB1;SKAP1;DHX9;TNFSF4;IL12B;CD1D;SLC15A4;TLR8;NRG1;IFNG;C9,True
prerank,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),0.601343019109751,2.369938861630858,0.0,0.0,0.0,69/142,15.75%,CLEC7A;NOD2;S100A8;S100A9;WNT5A;STAT3;LTF;SPHK1;RPS6KA4;TRIM15;FLOT2;NTRK1;IRAK2;MYD88;TRIM22;TRAF2;S100A12;IRAK1;AIM2;CIB1;TRIM25;RIPK3;CD36;FLOT1;PRKCQ;PLCG2;TNFSF11;PYCARD;PRKCI;CARD14;TRIM62;RELA;TRIM21;TLR2;CARD11;TRADD;TRIM14;CARD9;TRAF1;NLRP3;IKBKG;RIPK4;IKBKB;CD40LG;IL6;TNF;RNF31;NOD1;BCL10;CD40;IL18RAP;LGALS9;CHUK;PRKCH;TICAM1;PSMA6;TNFSF18;TRIM58;DHX33;TRAF5;ARHGEF2;DHX9;PPIA;BTK;NPM1;PRDX3;EIF2AK2;IRAK3;IL1B,False
prerank,Chemokine-Mediated Signaling Pathway (GO:0070098),0.704215709422414,2.3723082140909706,0.0,0.0,0.0,30/50,14.74%,LYN;CCL18;CCL22;CXCL8;CXCL1;CCL13;CCL2;SH2B3;CCL19;CIB1;CCR2;CCL17;CCR1;CCL5;CXCL2;CXCL9;CXCL10;CXCL11;CXCL6;CXCL13;CCL4;CCL1;CCL7;OXSR1;CCL20;CCL8;CCL3;XCL1;CXCL3;CCL26,True
prerank,Regulation Of Innate Immune Response (GO:0045088),0.6640058804969233,2.382696829645012,0.0,0.0,0.0,42/74,16.37%,IFI16;ADAM8;PARP9;IRF1;PLSCR1;POLR3G;IFI35;BIRC3;LRP8;MYO1C;FGR;DHX58;AKT1;CDC37;AKIRIN2;AURKB;GBP5;TRIM21;N4BP1;CCL5;CASP8;PTPN22;LYAR;TNFAIP3;APLP2;ZDHHC18;YWHAZ;PTPN1;BIRC2;PARP1;HLA-E;PRKDC;DHX9;ATG5;NLRC3;IRAK3;SAMHD1;CD1D;PTPN6;SLC15A4;TLR8;CACTIN,True
prerank,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),0.7266495013346677,2.387487994485277,0.0,0.0,0.0,31/41,14.87%,NR4A3;CD47;CD44;CCL2;ETS1;IRAK1;LCK;CCR2;ITGB2;PRKCQ;THY1;TNFSF11;PYCARD;RELA;CCDC88B;HLA-DRA;HLA-DMA;HLA-DMB;HLA-DPA1;FUT7;IL6;TNF;GNAO1;SIRPG;HLA-DRB1;SIRPA;HAS2;SKAP1;HSPD1;RHOA;HLA-DQA1,False
prerank,Defense Response To Bacterium (GO:0042742),0.5903526951756046,2.3593911395607927,0.0,0.0,0.0,65/145,14.10%,NOD2;LCE3A;S100A8;SERPINE1;S100A9;PI3;KRT6A;SPRR2A;LTF;DEFB4A;SHC1;GSDMD;OAS1;ZNFX1;OAS3;MYD88;LYZ;S100A12;GSDMC;GNLY;LCN2;FGR;GBP1;SELP;OAS2;AKIRIN2;CAMP;DEFB103A;PYCARD;SYK;RNF213;CASP4;PGLYRP2;TLR2;LCE3C;RNASE13;FCER1G;SLAMF8;RAB1A;CXCL13;IFNE;WFDC12;IL6R;PLA2G2A;IL6;SPN;TNFRSF14;RNF31;NOD1;ISG15;GBP4;GBP3;CFP;CEBPB;IL23A;GBP2;HLA-A;S100A14;MPEG1;RNASE6;TFEB;HLA-E;PPP1R11;NAIP;IL12B,False
prerank,Response To Interleukin-1 (GO:0070555),0.6583493288170417,2.392721015762705,0.0,0.0,0.0,45/78,16.61%,CCL18;CD47;ZC3H12A;SELE;CCL22;CXCL8;IRAK2;CCL13;MYD88;CCL2;IRAK1;CCL19;MAPK11;CCL17;GBP1;NFKB1;PYCARD;RELA;CCL5;SRC;HYAL1;CCL4;CCL1;ANXA1;CD40;ADAMTS7;LGALS9;GBP3;HIF1A;ADAMTS12;CCL7;SIRPA;GBP2;HAS2;HYAL2;CCL20;CCL8;CCL3;XCL1;CCL26;SMPD1;IRAK3;IL1B;CACTIN;XCL2,True
prerank,Regulation Of Peptidase Activity (GO:0052547),0.7899017358366339,2.319594440163298,0.0,0.0,0.0,13/25,5.33%,PRSS22;SERPINB3;SERPINB4;CST7;CTSB;CTSL;FURIN;CSTB;PSMB8;HDAC1;CST3;PSMA3;ATP13A2,False
prerank,Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912),0.683533302772272,2.302712003134796,0.0,0.0,0.0,27/45,16.04%,CD1B;CD226;ULBP2;CD1C;RASGRP1;IL12RB1;ITGAM;RAET1G;HLA-DRA;CRTAM;SPI1;MICB;HLA-B;HLA-F;TYROBP;SLAMF6;HLA-DRB1;ULBP1;CD1E;IL23A;HLA-A;ULBP3;HLA-E;XCL1;IL12B;HLA-C;CD1D,False
prerank,Regulation Of Type I Interferon Production (GO:0032479),0.6637253168432177,2.2661504259511895,0.0,0.0,0.0,24/53,11.48%,IRF7;IRF1;TRIM15;TRAF3;NPLOC4;CYLD;MYD88;GAPDH;IRAK1;XAF1;IRF8;TRAF3IP3;DHX58;TRIM21;DDX56;PTPN22;IRF3;TRAF3IP1;TYROBP;IKBKE;OTUD5;TICAM1;DDX3X;DHX33,False
prerank,Regulation Of Interleukin-2 Production (GO:0032663),0.6776219952060085,2.2689793996078236,0.0,0.0,0.0,27/47,15.76%,CLEC7A;PNP;ZFP36;TRAF2;CD28;HOMER3;CCR2;PTPRC;GBP1;PDE4B;CD80;LAPTM5;FOXP3;PLCG2;HAVCR2;CARD11;TNFAIP3;IRF4;LILRB4;RUNX1;CD4;STOML2;EZR;XCL1;CD86;IL1B;TRIM27,True
prerank,Response To Tumor Necrosis Factor (GO:0034612),0.5973404670596509,2.2730883704303557,0.0,0.0,0.0,53/95,16.61%,TNFRSF21;CCL18;SPHK1;ZC3H12A;SELE;CCL22;GCH1;CXCL8;ZFP36;CCL13;CCL2;CCL19;CIB1;CCL17;GBP1;AKT1;ADAM9;PYCARD;RELA;CXCL16;ZFAND6;NFKBIA;CCL5;CASP8;TRADD;HYAL1;IKBKB;CCL4;CCL1;CD40;ADAMTS7;GBP3;SMPD4;CHUK;BRCA1;ADAMTS12;CCL7;GBP2;HAS2;HYAL2;CCL20;ARHGEF2;CCL8;CCL3;XCL1;DHX9;CRHBP;NUB1;CCL26;SMPD1;ZFP36L2;CACTIN;XCL2,False
