Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,relevant_to_barrier_immune
prerank,Epstein-Barr virus infection,0.672704314268559,2.7803639104713245,0.0,0.0,0.0,111/184,13.27%,IRF7;NFKB2;RELB;TAP2;STAT3;LYN;TAPBP;CD44;MAP3K14;E2F3;TRAF3;BAX;OAS1;JAK3;OAS3;NFKBIE;TAP1;MYD88;NFKBIB;CCND3;TRAF2;CCND2;PIK3CD;IRAK1;HDAC1;MAPK11;NFKB1;OAS2;PSMD11;RB1;AKT1;CD247;CD3D;ICAM1;CD3E;CD3G;PSMC4;BCL2L11;IRF9;STAT2;CCNE1;CALR;ITGAL;DDX58;PSMD2;PLCG2;IFNAR2;BAK1;CDKN1A;RELA;PSMD6;BLNK;JUN;SYK;STAT1;RUNX3;TYK2;HLA-DRA;BID;HLA-DPB1;NFKBIA;HLA-DMA;HLA-DMB;CCNA2;TLR2;CASP8;TRADD;HLA-DPA1;PSMD1;CXCL10;CYCS;CCNE2;TNFAIP3;IRF3;IKBKG;ADRM1;IKBKB;MYC;E2F1;IL6;TNF;HLA-B;MAP2K3;GADD45G;CD40;NEDD4;PDIA3;CDK2;HLA-F;PSMC5;ISG15;HLA-DRB1;AKT2;IKBKE;B2M;PIK3R3;CHUK;PSMD3;RAC1;CASP9;MAPK8;PSMD13;HLA-A;PSMC6;TRAF5;FAS;HLA-E;IRAK4;PSMD7;PSMC1;PSMC3,False
prerank,RIG-I-like receptor signaling pathway,0.6792751521599987,2.3400164840666546,0.0,0.0,0.0,33/55,14.10%,IRF7;NLRX1;TRAF3;CXCL8;IFIH1;CYLD;NFKBIB;TRAF2;MAPK11;TRIM25;DHX58;NFKB1;CASP10;DDX58;RELA;NFKBIA;CASP8;TRADD;CXCL10;IRF3;IKBKG;IFNE;IKBKB;TNF;ISG15;IKBKE;OTUD5;CHUK;MAPK8;DDX3X;TBKBP1;ATG5;IL12B,False
prerank,Allograft rejection,0.7503283068433467,2.3397705255665873,0.0,0.0,0.0,30/33,23.45%,GZMB;CD28;CD80;HLA-DRA;HLA-DPB1;HLA-DMA;IL10;HLA-DMB;HLA-DPA1;FASLG;CD40LG;TNF;HLA-B;CD40;HLA-F;HLA-DRB1;PRF1;HLA-A;FAS;HLA-E;IL12B;HLA-C;CD86;HLA-DQA1;IFNG;HLA-DOB;HLA-DOA;HLA-DQB1;HLA-DQA2;HLA-DRB5,False
prerank,Tuberculosis,0.5806042994522009,2.325900866359332,0.0,0.0,0.0,74/158,15.14%,CLEC7A;NOD2;ITGAX;SPHK1;BAX;IRAK2;IFNGR2;MYD88;ATP6V0D1;CYP27B1;TGFB1;TCIRG1;IRAK1;TNFRSF1A;MAPK11;IL10RA;CIITA;ITGB2;NFKB1;ITGAM;AKT1;RFX5;CASP10;CAMP;IFNGR1;RELA;CALM1;CD74;SYK;STAT1;HLA-DRA;BID;HLA-DPB1;HLA-DMA;IL10;HLA-DMB;TLR2;SRC;CASP8;TRADD;HLA-DPA1;CORO1A;CARD9;FCER1G;CYCS;MAPK3;RAB7A;CTSD;IL6;TNF;FCGR2A;ATP6V0B;BCL10;PLK3;CALML5;HLA-DRB1;AKT2;TLR1;CEBPB;CASP9;MAPK8;CD209;IL23A;RAB5A;HSPA9;CALML3;VDR;IRAK4;CTSS;IL12B;HSPD1;RHOA;HLA-DQA1;FCGR3A,False
prerank,Cytokine-cytokine receptor interaction,0.5514193632692163,2.319345640906158,0.0,0.0,0.0,125/244,16.61%,TNFRSF21;TNFRSF10B;IL4R;OSMR;IL36G;CCL18;IL12RB2;TNFRSF12A;CSF2RB;IL27RA;RELT;CCL22;CCR7;CXCR4;IL20;TNFSF10;CXCL8;IL13;CSF1;TNFRSF10A;IL36A;TNFRSF9;CXCL1;IL2RA;CCL13;IFNGR2;IL2RG;CCR5;LTBR;IL13RA1;CCL2;TGFB1;TGFBR1;IL7R;IL32;CXCR1;IL26;TNFRSF1A;CCR4;CCL19;CCR2;CCL17;IL12RB1;IL10RA;IL13RA2;LTB;TNFRSF1B;TNFRSF11B;IL22;IL36RN;CCR1;OSM;TNFRSF4;IFNAR2;IFNGR1;TNFSF11;IL24;IL1RL1;TNFSF14;CXCL16;CSF2;IL10;CCL5;IL21R;IL15;CXCL2;TNFRSF10D;CXCL9;CXCL10;CLCF1;CXCL11;CXCL6;IL15RA;FASLG;CXCL13;CXCR3;IFNE;ACVR1;IL6R;CCL4;CD40LG;EBI3;TNFSF8;CCL1;IL6;TNF;TNFRSF14;LTA;CCR8;CD40;CXCL17;NGF;IL18RAP;BMP4;IL19;CCL7;IL23A;CD4;TNFRSF8;TNFSF18;CD27;CCL20;TNFSF9;CCL8;FAS;TSLP;CCL3;IL17RA;IL1RN;XCL1;TNFSF4;LIFR;IL12B;CXCR6;CXCL3;CCL26;IL31RA;IL11;IL1B;CNTF;TNFSF13;IL17C;TNFSF13B;IFNG;XCL2,True
prerank,Neutrophil extracellular trap formation,0.6085737667672039,2.312894532743036,0.0,0.0,0.0,47/99,12.28%,CLEC7A;GSDMD;PPIF;FPR3;PIK3CD;PLCB3;HDAC1;MAPK11;SELP;ITGB2;ACTB;NFKB1;ITGAM;CYBA;AKT1;SELPLG;SLC25A5;PLCB2;CAMP;ITGAL;PLCG2;VDAC1;RAC2;RELA;SYK;NCF2;CASP4;TLR2;SRC;SIGLEC9;MAPK3;FCGR2A;PLCG1;MAP2K2;VWF;VDAC2;HDAC3;FPR1;AKT2;ATG7;PIK3R3;RAC1;C5AR1;HAT1;MTOR;MAP2K1;VDAC3,False
prerank,Epithelial cell signaling in Helicobacter pylori infection,0.6391300863838115,2.3036513832313243,0.0,0.0,0.0,38/68,17.96%,LYN;MAP3K14;HBEGF;CXCL8;CXCL1;ATP6V0D1;TCIRG1;CXCR1;MAPK11;NFKB1;ATP6V1B2;CSK;PLCG2;ATP6V1C2;RELA;JUN;PAK1;NFKBIA;CCL5;SRC;CXCL2;IKBKG;ADAM17;IKBKB;ATP6V0B;PLCG1;NOD1;CHUK;RAC1;MAPK8;ATP6V1D;CXCL3;ATP6V1C1;ATP6V1G1;ATP6V0E1;ATP6V1A;ATP6V0A1;TJP1,False
prerank,Pathogenic Escherichia coli infection,0.5589334860175161,2.2944957983499563,0.0,0.0,0.0,101/188,19.18%,TNFRSF10B;ARPC1B;MYO1E;BAX;TUBB6;TNFSF10;CXCL8;TNFRSF10A;MYH9;MYO1G;MYO10;MYD88;NFKBIB;MYO1C;TRAF2;GAPDH;IRAK1;ARHGEF1;TNFRSF1A;MAPK11;TUBA1C;HCLS1;ACTB;NFKB1;ARPC5L;MYO5A;ACTR3C;MYO1B;SLC9A3R1;BAK1;PYCARD;RELA;CASP7;JUN;NCKAP1L;CASP4;PAK1;NFKBIA;SEC24D;SRC;CASP8;TRADD;ARPC4;CYTH2;CYTH4;CTTN;MYO1F;CYTH1;ABCF2;NCK2;NLRP3;CYCS;TUBB2A;GNA12;SEC24C;MAPK3;RAB1A;IKBKG;FASLG;IKBKB;IL6;TNF;FCGR2A;BAIAP2;ARPC3;ARPC2;CYFIP1;NCL;ACTR2;CHUK;RAC1;CASP9;MAPK8;TUBA1B;CYFIP2;ARPC1A;ARHGEF2;EZR;FAS;LPAR5;IRAK4;LPAR2;CLDN14;TUBB2B;NAIP;RHOA;TUBA4A;ACTG1;PAK2;IL1B;PTPN6;ROCK2;MYO1D;CLDN17;TUBB;TJP1;ARPC5;SEC24A;CLDN7;ACTR3;FADD,False
prerank,B cell receptor signaling pathway,0.6258866921613205,2.274360494105957,0.0,0.0,0.0,41/77,16.91%,LYN;NFKBIE;NFKBIB;IFITM1;PIK3CD;NFKB1;AKT1;HRAS;PLCG2;RAC2;RELA;BLNK;JUN;SYK;NFKBIA;LILRB2;CARD11;GRB2;VAV1;MAPK3;IKBKG;IKBKB;NFATC1;VAV2;MAP2K2;BCL10;LILRB4;AKT2;PIK3R3;CHUK;RAC1;LILRB1;MAP2K1;INPP5D;RASGRP3;BTK;LILRA1;PTPN6;LILRA5;LILRA6;NFATC3,False
prerank,Primary immunodeficiency,0.7247606160744126,2.250857298081999,0.0,0.0,0.0,19/33,10.60%,TAP2;JAK3;ICOS;IL2RG;TAP1;IL7R;LCK;PTPRC;CIITA;CD3D;CD3E;RFX5;BLNK;CD8A;IKBKG;CD40LG;CD40;ZAP70;CD4,False
