Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,relevant_to_barrier_immune
prerank,Proteasome,0.8396813399189551,2.9200948183088333,0.0,0.0,0.0,39/43,12.84%,PSMD2;PSME2;PSMA4;PSMC4;PSMD1;PSME3;PSME4;PSMB2;PSMA5;PSMD11;PSMB5;PSMA7;POMP;PSMB10;PSMB3;PSMB6;PSMB8;PSMD13;PSME1;PSMA3;PSMD6;PSMC3;PSMB7;PSMD3;PSMD7;PSMC5;ADRM1;PSMD8;PSMC1;PSMB1;PSMD12;PSMC6;PSMD14;PSMC2;PSMB9;PSMB4;PSMD4;PSMA1;PSMF1,False
prerank,Th1 and Th2 cell differentiation,0.5801286990415127,2.2508413593026915,0.0,0.0,0.0,49/86,16.47%,IL4R;IL12RB2;JAK3;NFKBIB;IL2RA;CD3G;PRKCQ;IL13;IFNGR2;NFKB1;NFKBIE;IL2RG;IL12RB1;MAPK3;STAT1;CD3D;JUN;LCK;MAPK11;IFNGR1;HLA-DPA1;CD247;RELA;CD3E;HLA-DRB1;NFKBIA;NFATC3;HLA-DPB1;NFATC1;HLA-DQA1;HLA-DRA;RUNX3;STAT4;PPP3R1;PLCG1;HLA-DQB1;CHUK;MAPK14;HLA-DMB;IKBKG;MAPK8;HLA-DRB5;CD4;HLA-DMA;TYK2;IL12B;ZAP70;STAT5A;MAF,True
prerank,Natural killer cell mediated cytotoxicity,0.5712459024251801,2.2807040775116,0.0,0.0,0.0,63/100,19.52%,TNFRSF10B;ULBP2;PIK3CD;TNFSF10;PIK3R3;IFNAR2;ICAM1;SHC1;TNFRSF10A;RAET1G;RAET1L;IFNGR2;PAK1;MAPK3;HRAS;ITGAL;GRB2;SH2D1A;RAC1;LCK;NRAS;GZMB;LCP2;SYK;IFNGR1;CD247;MAP2K2;PLCG2;VAV2;BID;MICB;RAC2;ITGB2;CD244;FASLG;FCER1G;PTPN11;NFATC1;MAP2K1;CSF2;HLA-B;CD48;PPP3R1;PLCG1;HLA-C;HLA-A;ICAM2;FCGR3A;ULBP1;ULBP3;RAET1E;HLA-E;FAS;VAV1;PRF1;ZAP70;TYROBP;SH2D1B;KLRC1;KRAS;ARAF;TNF;IFNG,False
prerank,Hematopoietic cell lineage,0.5801543554078924,2.2829990231422252,0.0,0.0,0.0,42/84,19.04%,IL4R;CD36;IL2RA;ITGAM;CD44;CD3G;ITGA6;CD1B;CD9;CD2;CD3D;IL7R;CD38;HLA-DPA1;CD3E;HLA-DRB1;CSF1;ITGA3;CD1C;IL6R;HLA-DPB1;HLA-DQA1;CSF2;HLA-DRA;HLA-DQB1;CD8A;CD7;IL6;HLA-DMB;ITGA4;HLA-DRB5;CD4;ANPEP;HLA-DMA;MS4A1;CD37;KITLG;CD5;CD1E;FCGR1A;HLA-DQA2;TNF,False
prerank,Th17 cell differentiation,0.5681577413425759,2.2839221734519852,0.0,0.0,0.0,66/101,19.86%,IL4R;TGFBR1;JAK3;NFKBIB;TGFB1;IL2RA;STAT3;RUNX1;HIF1A;CD3G;PRKCQ;IFNGR2;NFKB1;IL22;NFKBIE;IL2RG;IL12RB1;MAPK3;STAT1;CD3D;JUN;IL27RA;LCK;MAPK11;RARA;IFNGR1;HLA-DPA1;CD247;RELA;CD3E;MTOR;HLA-DRB1;IL6R;NFKBIA;FOXP3;NFATC3;HLA-DPB1;NFATC1;HLA-DQA1;HLA-DRA;PPP3R1;PLCG1;HLA-DQB1;CHUK;MAPK14;IL6;IL21R;HLA-DMB;IKBKG;MAPK8;HLA-DRB5;CD4;HLA-DMA;TYK2;IRF4;ZAP70;STAT5A;AHR;HSP90AB1;HLA-DQA2;IL23R;IKBKB;JAK1;IFNG;HSP90AA1;IL6ST,False
prerank,Cytosolic DNA-sensing pathway,0.66390623131205,2.29112120514925,0.0,0.0,0.0,28/45,17.81%,IRF7;POLR3G;NFKBIB;PYCARD;POLR2E;CXCL10;ADAR;DDX58;POLR2L;AIM2;POLR2H;NFKB1;RIPK3;RELA;IKBKE;CCL5;POLR3B;ZBP1;NFKBIA;CCL4;POLR3K;CHUK;IL6;IKBKG;TBK1;POLR1D;POLR1C;IRF3,False
prerank,Yersinia infection,0.5485416122265981,2.291788367269812,0.0,0.0,0.0,77/132,19.62%,LIMK1;MYD88;PYCARD;TRAF2;ARPC1B;IRAK1;PIK3CD;ACTB;PIK3R3;ARPC5L;RPS6KA1;ARPC4;ACTR2;MAP2K3;ARHGEF1;ACTR3C;NFKB1;BCAR1;ARPC2;MAPK3;CCL2;SRC;RHOG;JUN;ARPC3;RAC1;LCK;ARPC1A;RHOA;MAPK11;LCP2;ACTR3;CXCL8;MAP2K2;RELA;VAV2;IL10;RAC2;ROCK1;NFKBIA;AKT1;ARPC5;CRK;NFATC3;CDC42;NLRP3;NFATC1;MAP2K1;ROCK2;PLCG1;CHUK;CD8A;MAPK14;IL6;TICAM1;ITGA4;IKBKG;MAPK8;CD4;MAP2K4;NLRC4;VAV1;TBK1;WAS;AKT2;RPS6KA3;PIP5K1C;ACTG1;ZAP70;ARF6;WASL;IRF3;MAP3K7;TAB2;TNF;IKBKB;MEFV,False
prerank,Hepatitis B,0.5439816095654616,2.296974264147652,0.0,0.0,0.0,83/146,19.43%,IRF7;CASP10;RB1;TGFBR1;E2F3;JAK3;MYD88;TGFB1;IRAK1;IFIH1;PIK3CD;YWHAQ;STAT3;PIK3R3;DDX58;TLR2;BIRC5;CCNA2;YWHAZ;BAX;TRAF3;MAP2K3;NFKB1;MMP9;ATF4;PCNA;MAPK3;HRAS;SRC;CYCS;GRB2;CDKN1A;DDX3X;CCNE1;STAT1;E2F1;JUN;NRAS;MAPK11;YWHAB;CDK2;CXCL8;MAP2K2;RELA;STAT2;CASP8;IKBKE;BID;VDAC3;NFKBIA;AKT1;CCNE2;FASLG;NFATC3;NFATC1;MAP2K1;STAT4;CHUK;MAPK14;IL6;TICAM1;CASP9;IKBKG;MAPK8;ATP6AP1;MYC;E2F2;CREB3L2;MAP2K4;FAS;TBK1;TYK2;AKT2;STAT5A;ELK1;IRF3;MAP3K7;KRAS;TAB2;ARAF;TNF;IKBKB;JAK1,False
prerank,Shigellosis,0.517022129862239,2.3003519323052286,0.0,0.0,0.0,116/211,19.65%,HK2;PLCB3;CAPN2;MYD88;RRAGC;NFKBIB;PFN1;CAPN1;TNFRSF1A;PYCARD;TRAF2;VDAC1;ARPC1B;PIK3CD;ACTB;PIK3R3;ARPC5L;CD44;ARPC4;BAX;PRKCQ;ACTR2;CAPNS1;CUL1;ACTR3C;UBE2D1;PLCD4;NFKB1;BCAR1;BCL10;PLCB2;ARPC2;MAPK3;SRC;CYCS;DIAPH1;FBXW11;UBE2D3;JUN;ARPC3;RAC1;ACTN1;VCL;TNIP1;CBX3;CASP4;ARPC1A;RPS6KB2;RHOA;MAPK11;ACTR3;CXCL8;RELA;HCLS1;PLCG2;UBE2N;MTOR;UBE2D2;CCL5;ROCK1;NFKBIA;AKT1;HK1;BECN1;ARPC5;MYL12B;CRK;CDC42;NLRP3;ARHGEF2;CSF2;CTTN;ROCK2;UBB;CYTH4;PLCG1;RNF31;MYL12A;CHUK;TRADD;MAPK14;ARF1;AKT1S1;IKBKG;MAPK8;RPS6KB1;PRKCD;HK3;RRAGA;NLRC4;NOD1;TBK1;PIK3R4;AKT2;TRAF5;ACTG1;GLMN;MALT1;RBX1;PLCD1;NAIP;ARF6;MDM2;WASL;CYTH1;IRF3;MAP3K7;ATG5;BNIP3;TAB2;WIPI2;TNF;BCL2L1;IKBKB;RPTOR;ACTN4,False
prerank,Phagosome,0.5492975806626722,2.3066396387704944,0.0,0.0,0.0,80/140,20.57%,CLEC7A;CD36;ATP6V0D1;TUBA1C;ATP6V1B2;CALR;TUBB6;CTSL;ACTB;SEC61A1;ITGAM;TLR2;TAP2;TCIRG1;TUBB2B;THBS2;RAB7A;HGS;ATP6V1A;SEC61B;RAC1;ATP6V1D;TAP1;SEC61G;ATP6V0B;TUBA1B;CANX;MSR1;RAB5A;HLA-DPA1;TUBB2A;LAMP2;CYBA;HLA-DRB1;ITGB2;M6PR;TUBB;ITGAV;C1R;VAMP3;ATP6V0E1;THBS1;HLA-DPB1;ATP6V1G1;HLA-DQA1;HLA-B;STX12;HLA-DRA;ATP6V1C2;HLA-C;HLA-DQB1;HLA-A;ATP6V1C1;FCGR3A;COMP;HLA-DMB;TUBA4A;CORO1A;TUBB3;ATP6AP1;NCF1;ATP6V0A1;HLA-DRB5;HLA-E;CD209;ATP6V1F;HLA-DMA;RAB5C;ACTG1;LAMP1;NCF2;FCGR1A;HLA-DQA2;ATP6V1E1;ATP6V1H;DYNC1LI1;CTSS;FCGR2A;DYNC1H1;OLR1,False
