Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,relevant_to_barrier_immune
prerank,Viral protein interaction with cytokine and cytokine receptor,0.6047325584352211,2.427554853531107,0.0,0.0,0.0,40/89,12.87%,CCL18;CCL13;TNFRSF10B;CSF1;TNFRSF14;CCR7;CCL22;IL2RA;IL20;CCR4;CXCL6;CXCR4;CCL17;TNF;CCL2;TNFRSF1B;CCL8;CXCL1;CCR3;LTA;CCR1;CXCL8;IL2RG;CCL19;TNFRSF10D;IL10RA;XCL2;CCR8;IL18RAP;CCL14;LTBR;IL10;TNFRSF1A;TNFRSF10A;CCL7;CCR5;TNFSF14;CCR9;CCL3;CCL4,True
prerank,Antigen processing and presentation,0.5703340850236589,2.1523675529285433,0.0,0.0,0.0,31/59,19.52%,TAP2;TAP1;HLA-F;PSME2;HLA-DMA;RFX5;TNF;CIITA;TAPBP;HLA-DMB;CD74;CTSB;HLA-DRA;HLA-DPB1;HLA-DPA1;PSME1;LGMN;CTSL;HLA-B;CTSS;CD4;B2M;HLA-E;HLA-DOB;CD8A;HLA-DRB1;IFI30;HLA-C;HLA-A;HLA-DQA1;HSPA6,False
prerank,Asthma,0.6984097695631998,2.179588023328206,0.0,0.0,0.0,16/25,20.23%,IL13;HLA-DMA;TNF;HLA-DMB;CD40LG;CD40;IL10;HLA-DRA;HLA-DPB1;HLA-DPA1;FCER1G;HLA-DOB;HLA-DRB1;HLA-DQA1;FCER1A;PRG2,False
prerank,Allograft rejection,0.6520968555401774,2.182408990778456,0.0,0.0,0.0,24/33,27.15%,HLA-F;HLA-DMA;TNF;HLA-DMB;CD40LG;CD28;CD40;IL10;HLA-DRA;HLA-DPB1;HLA-DPA1;FASLG;HLA-B;HLA-E;HLA-DOB;HLA-DRB1;HLA-C;HLA-A;HLA-DQA1;GZMB;CD86;IL12B;FAS;CD80,False
prerank,Chemokine signaling pathway,0.4933958547637355,2.1843985043876333,0.0,0.0,0.0,69/175,13.95%,CCL18;CCL13;IKBKB;CCR7;CCL22;ITK;BCAR1;JAK3;CCR4;PLCB2;PIK3R5;VAV1;AKT1;CXCL6;ADCY3;CXCR4;LYN;CCL17;CCL2;ADCY6;PRKCZ;DOCK2;ADCY9;RASGRP2;GRK5;STAT2;PIK3CD;CCL8;CXCL1;CCR3;ARRB2;CCR1;FGR;PLCG2;ADCY4;CXCL8;CCL19;NFKBIA;ADCY7;ADCY2;XCL2;CCR8;HRAS;PLCB3;CCL14;AKT2;STAT3;GNB5;IKBKG;PLCG1;ADCY5;VAV2;RELA;WAS;CCL7;CCR5;SHC2;GNAI2;HCK;CCR9;CCL3;GNG2;GNG4;CCL4;GRK6;RAC3;PREX1;ARRB1;RAC2,True
prerank,Intestinal immune network for IgA production,0.6372740899705983,2.2102964619862466,0.0,0.0,0.0,22/40,15.34%,ICOS;HLA-DMA;CXCR4;IL15RA;IL15;TNFSF13;HLA-DMB;MAP3K14;CD40LG;TGFB1;CD28;CD40;LTBR;IL10;ITGB7;HLA-DRA;HLA-DPB1;HLA-DPA1;CCR9;TNFRSF13C;HLA-DOB;HLA-DRB1,True
prerank,NF-kappa B signaling pathway,0.5401284222741146,2.231603062308674,0.0,0.0,0.0,47/99,16.43%,CCL13;BIRC3;IKBKB;RELB;NFKB2;LCK;TRADD;LYN;TRAF1;TNF;PIDD1;VCAM1;CXCL1;LTA;TRAF3;MAP3K14;TNFSF11;PLCG2;CXCL8;CD40LG;CCL19;NFKBIA;ZAP70;CD40;CARD14;CARD11;IRAK4;LAT;TRAF5;LTBR;BTK;IKBKG;PLCG1;TNFRSF1A;LTB;EDA2R;RELA;CSNK2A3;TNFSF14;TNFAIP3;GADD45A;CCL4;TNFRSF13C;CXCL2;BCL2A1;ICAM1;CYLD,False
prerank,Autoimmune thyroid disease,0.643675311598633,2.1745657686582702,0.0,0.0,0.0,21/35,19.71%,HLA-F;CTLA4;HLA-DMA;HLA-DMB;CD40LG;CD28;CD40;IL10;HLA-DRA;HLA-DPB1;HLA-DPA1;FASLG;HLA-B;HLA-E;HLA-DOB;HLA-DRB1;TPO;HLA-C;HLA-A;HLA-DQA1;GZMB,True
prerank,Cytokine-cytokine receptor interaction,0.48991404556762685,2.2851194399217896,0.0,0.0,0.0,93/244,13.19%,CCL18;CCL13;TNFRSF10B;IL13;CSF1;TNFRSF14;IL26;IL36A;IL22;CCR7;CCL22;IL4R;IL2RA;TNFRSF12A;IL20;TNFRSF25;TNFRSF9;CCR4;RELT;CSF2RB;CXCL6;OSMR;CXCR4;TNFRSF21;CCL17;IL15RA;TNF;CCL2;TNFSF4;OSM;IL15;IL11;TNFRSF1B;IL1RL1;TNFSF13;IL12RB1;CCL8;CXCL1;CCR3;LTA;CLCF1;CSF2;CCR1;TNFSF11;CXCL8;CD40LG;IL21R;IL2RG;IL27RA;TGFB1;IL32;CCL19;IL7R;TNFRSF10D;IL10RA;XCL2;IL13RA2;CCR8;IL18RAP;CD40;CCL14;IL11RA;IL36G;BMP4;EBI3;CD70;LTBR;IL10;IL31RA;IFNGR2;TNFRSF1A;BMP8A;TNFSF18;IFNGR1;LTB;FASLG;TNFRSF4;EDA2R;TNFRSF10A;CCL7;CCR5;IL23A;TNFSF14;IL25;IFNE;CCR9;CNTF;CCL3;TNFRSF11B;CCL4;INHA;TNFSF12;CD4,True
prerank,Primary immunodeficiency,0.7053443619574089,2.2853971736397134,0.0,0.0,0.0,20/33,14.96%,TAP2;ICOS;TAP1;JAK3;LCK;RFX5;CD3E;CD3D;CIITA;CD40LG;IL2RG;IL7R;ZAP70;CD40;PTPRC;BTK;IKBKG;CD4;TNFRSF13C;CD8A,False
