sample_id,library_size,fraction_of_median
AD_004_lesional,11747071,0.6918793427910416
AD_004_non-lesional,14563058,0.8577354302249319
AD_005_lesional,22669165,1.335169165302711
AD_005_non-lesional,20722614,1.2205211456738823
AD_006_lesional,17538680,1.0329937047134887
AD_006_non-lesional,17456729,1.0281669522386743
AD_007_lesional,16446228,0.9686504338001896
AD_007_non-lesional,8152011,0.48013739025714086
AD_009_lesional,17807539,1.0488289702212443
AD_009_non-lesional,17535726,1.0328197199322096
AD_011_lesional,21013010,1.2376248980585531
AD_011_non-lesional,16565218,0.9756587104164376
AD_014_lesional,11730764,0.6909188926121933
AD_014_non-lesional,16251084,0.9571568365903306
AD_016_lesional,25830432,1.5213615646120373
AD_016_non-lesional,17133845,1.009149720648115
AD_017_lesional,23710874,1.3965237734683986
AD_017_non-lesional,21840474,1.2863608977390901
AD_019_lesional,22596945,1.3309155495599978
AD_019_non-lesional,17986407,1.0593639430911919
AD_020_lesional,13815123,0.8136835319900086
AD_020_non-lesional,16280787,0.9589062847820476
AD_021_lesional,13302208,0.7834738488181212
AD_021_non-lesional,16178093,0.9528578104663155
AD_023_lesional,17932497,1.0561887502818639
AD_023_non-lesional,24869103,1.4647411801156833
AD_024_lesional,21197335,1.2484812774794283
AD_024_non-lesional,18365110,1.081668803830775
AD_025_lesional,20585326,1.2124351529006117
AD_025_non-lesional,13993369,0.8241818702851574
AD_026_lesional,22269608,1.311636045040855
AD_026_non-lesional,14789367,0.8710645845466941
AD_027_lesional,9558832,0.5629963760336494
AD_027_non-lesional,12246570,0.7212988499894558
AD_028_lesional,18495743,1.0893628302129108
AD_028_non-lesional,18965580,1.117035304038847
AD_029_lesional,16875457,0.9939311764148256
AD_029_non-lesional,16448305,0.9687727650089629
AD_030_lesional,7858808,0.4628683111016338
AD_030_non-lesional,20620997,1.2145361045367002
AD_031_lesional,22124196,1.303071564670052
AD_031_non-lesional,13467920,0.7932339592024535
CTRL_002_healthy,16384798,0.9650323278035838
CTRL_003_healthy,16995299,1.000989634152824
CTRL_004_healthy,20997422,1.2367067955634352
CTRL_006_healthy,17049290,1.0041695977026
CTRL_008_healthy,23365622,1.3761891107378088
CTRL_009_healthy,19513555,1.1493099521503567
CTRL_010_healthy,16455278,0.9691834609737087
CTRL_011_healthy,8459094,0.49822397407214475
CTRL_013_healthy,19301284,1.1368076083768666
CTRL_014_healthy,17355355,1.0221962233228366
CTRL_015_healthy,14538680,0.8562996140441529
CTRL_016_healthy,15052430,0.8865584770712766
CTRL_017_healthy,19049547,1.121980794942591
CTRL_018_healthy,15780511,0.9294410138141501
CTRL_019_healthy,8843895,0.5208879950000285
CTRL_020_healthy,19383225,1.1416337718713785
CTRL_022_healthy,17728895,1.0441969935323778
CTRL_024_healthy,6236490,0.36731697650613526
CTRL_025_healthy,16961694,0.9990103658471762
CTRL_026_healthy,19483638,1.147547899780172
CTRL_029_healthy,18312455,1.078567528049377
CTRL_030_healthy,19272324,1.1351019214216052
CTRL_031_healthy,12921093,0.76102692602964
CTRL_032_healthy,11303738,0.6657679023581388
CTRL_033_healthy,14081056,0.8293464618613314
CTRL_034_healthy,23666208,1.3938930340504532
CTRL_035_healthy,15493628,0.9125441702096532
CTRL_036_healthy,12302572,0.7245972574780105
CTRL_037_healthy,18588020,1.0947977637478088
CTRL_038_healthy,7947610,0.46809857398150656
CTRL_039_healthy,20979685,1.2356621212013679
CTRL_040_healthy,13574623,0.7995185557213502
CTRL_041_healthy,15106020,0.8897148225109331
CTRL_042_healthy,15185273,0.8943826681002055
CTRL_043_healthy,15879138,0.935249949840965
CTRL_044_healthy,16826456,0.9910451140358629
CTRL_045_healthy,13953315,0.821822768582601
CTRL_046_healthy,19203462,1.1310460852643813
