,PC1,PC2,condition,patient_id
AD_004_lesional,57.4165199195299,32.392381751789365,lesional,AD_004
AD_004_non-lesional,3.5632133920802804,-22.7007562392904,non-lesional,AD_004
AD_005_lesional,16.836346846278197,52.169977135860556,lesional,AD_005
AD_005_non-lesional,-45.47448419211651,26.098237575602745,non-lesional,AD_005
AD_006_lesional,62.62377048368718,-3.6595918507773586,lesional,AD_006
AD_006_non-lesional,25.209434505649206,-9.926041828358448,non-lesional,AD_006
AD_007_lesional,-29.79277101849664,45.31252085148091,lesional,AD_007
AD_007_non-lesional,-68.69893631278751,32.65549051273762,non-lesional,AD_007
AD_009_lesional,31.87331376014849,65.01213761783957,lesional,AD_009
AD_009_non-lesional,-40.55049506407825,59.43547360719727,non-lesional,AD_009
AD_011_lesional,45.37905507850259,37.20351903366279,lesional,AD_011
AD_011_non-lesional,-24.603678232626145,-0.17989027778531877,non-lesional,AD_011
AD_014_lesional,48.097953425606924,32.91885989474352,lesional,AD_014
AD_014_non-lesional,9.763628098814957,-8.827395938480748,non-lesional,AD_014
AD_016_lesional,92.12850178545794,28.006297240578,lesional,AD_016
AD_016_non-lesional,-2.0156823016579,-27.747257507198423,non-lesional,AD_016
AD_017_lesional,34.81037816416495,10.372141427493744,lesional,AD_017
AD_017_non-lesional,4.789262489561861,-23.58496520382605,non-lesional,AD_017
AD_019_lesional,36.675324969401494,7.3909688643028355,lesional,AD_019
AD_019_non-lesional,-0.8735079975879224,-14.118925786704748,non-lesional,AD_019
AD_020_lesional,60.42792304169992,24.359796210220352,lesional,AD_020
AD_020_non-lesional,42.44586879339692,-9.256232155342737,non-lesional,AD_020
AD_021_lesional,-42.70511564856876,60.14028926162586,lesional,AD_021
AD_021_non-lesional,-73.80993176960037,47.38110784518008,non-lesional,AD_021
AD_023_lesional,-12.67650013981427,105.95658799071977,lesional,AD_023
AD_023_non-lesional,-14.967268809067631,90.07462182222058,non-lesional,AD_023
AD_024_lesional,74.04135894111823,-4.023737141490777,lesional,AD_024
AD_024_non-lesional,8.61015350432814,-6.33666087366135,non-lesional,AD_024
AD_025_lesional,77.94279769765244,-6.9983645063413,lesional,AD_025
AD_025_non-lesional,5.843503908672479,-39.569083781051425,non-lesional,AD_025
AD_026_lesional,50.84956439120907,32.05158814741055,lesional,AD_026
AD_026_non-lesional,8.345659539996474,-15.60400335300031,non-lesional,AD_026
AD_027_lesional,16.187688491380143,-9.260080465579572,lesional,AD_027
AD_027_non-lesional,-6.740653444016385,-25.67795652843528,non-lesional,AD_027
AD_028_lesional,55.80294033546879,51.51346061624137,lesional,AD_028
AD_028_non-lesional,2.870902103497816,-18.58836461407168,non-lesional,AD_028
AD_029_lesional,47.18838859262046,10.418550163001635,lesional,AD_029
AD_029_non-lesional,-14.638732666297376,-4.6839317574985655,non-lesional,AD_029
AD_030_lesional,96.93102894959586,17.971434750201517,lesional,AD_030
AD_030_non-lesional,-22.548031254350196,0.026466352552026316,non-lesional,AD_030
AD_031_lesional,57.551701319909135,27.444786545712102,lesional,AD_031
AD_031_non-lesional,20.912815315404174,-10.97825605293055,non-lesional,AD_031
CTRL_002_healthy,-24.939579613686032,-0.9582211983658092,healthy,CTRL_002
CTRL_003_healthy,-60.48468795514456,25.777593271317308,healthy,CTRL_003
CTRL_004_healthy,-30.214445525566664,2.469188841247006,healthy,CTRL_004
CTRL_006_healthy,-49.95750478011116,21.789542744925527,healthy,CTRL_006
CTRL_008_healthy,-33.48878108968088,-1.399586482638356,healthy,CTRL_008
CTRL_009_healthy,-10.271429817664288,-46.184343346595334,healthy,CTRL_009
CTRL_010_healthy,-17.775180636114982,-22.61729479653606,healthy,CTRL_010
CTRL_011_healthy,-27.496066919948564,-9.207567016318892,healthy,CTRL_011
CTRL_013_healthy,-15.03362813782702,-9.32707666036306,healthy,CTRL_013
CTRL_014_healthy,22.823888315278403,-57.09852834182907,healthy,CTRL_014
CTRL_015_healthy,-18.134228882538405,-24.159372719107747,healthy,CTRL_015
CTRL_016_healthy,20.38018068241616,-61.551590343379836,healthy,CTRL_016
CTRL_017_healthy,1.7628661719655052,-28.096677448116246,healthy,CTRL_017
CTRL_018_healthy,-26.1724015853837,-6.187063508701004,healthy,CTRL_018
CTRL_019_healthy,-54.53182981286891,28.263746357123814,healthy,CTRL_019
CTRL_020_healthy,-10.273283289653829,-25.97085701653569,healthy,CTRL_020
CTRL_022_healthy,-17.680828671337768,-22.978708889067864,healthy,CTRL_022
CTRL_024_healthy,5.375183414956428,-41.13361468376868,healthy,CTRL_024
CTRL_025_healthy,-3.253194690217979,-38.98228033127043,healthy,CTRL_025
CTRL_026_healthy,-33.33227642001103,-7.8118395761910415,healthy,CTRL_026
CTRL_029_healthy,-8.676838918780174,-30.596633638383647,healthy,CTRL_029
CTRL_030_healthy,-14.01384713132208,1.7258492039708724,healthy,CTRL_030
CTRL_031_healthy,-14.891936737210056,-21.50185132498559,healthy,CTRL_031
CTRL_032_healthy,-30.417924994594934,12.292152629310085,healthy,CTRL_032
CTRL_033_healthy,-1.0032264194258866,-56.35229735127778,healthy,CTRL_033
CTRL_034_healthy,1.5559837093047173,4.339862787092783,healthy,CTRL_034
CTRL_035_healthy,-33.76504298605234,-12.257009404891383,healthy,CTRL_035
CTRL_036_healthy,-14.435463560577741,-15.672821627466396,healthy,CTRL_036
CTRL_037_healthy,-8.029399397204694,-11.08329361794129,healthy,CTRL_037
CTRL_038_healthy,0.48925576493082934,-53.45747147900693,healthy,CTRL_038
CTRL_039_healthy,-29.537486260093857,-19.81099520781327,healthy,CTRL_039
CTRL_040_healthy,-31.404300212983046,-7.37472668949217,healthy,CTRL_040
CTRL_041_healthy,-64.51480619038279,19.55340872641948,healthy,CTRL_041
CTRL_042_healthy,-7.335194572880202,-33.30854296250885,healthy,CTRL_042
CTRL_043_healthy,-26.01375154589621,-15.48080641278373,healthy,CTRL_043
CTRL_044_healthy,1.592320650391661,-35.197130919780975,healthy,CTRL_044
CTRL_045_healthy,-6.241671936831657,-26.482037443485382,healthy,CTRL_045
CTRL_046_healthy,-25.68264901102037,-8.556303479354002,healthy,CTRL_046
